Region,Status,Persistence,Percentage
Central_CA,Partial,High,13.42036067
Central_CA,Partial,Mid,13.31831353
Central_CA,Partial,Low,12.81092829
Central_CA,Partial,All,13.23791537
Central_CA,Full,High,23.77900029
Central_CA,Full,Mid,18.71027343
Central_CA,Full,Low,18.12783035
Central_CA,Full,All,20.93293578
Central_CA,None,High,62.80063904
Central_CA,None,Mid,67.97141304
Central_CA,None,Low,69.06124136
Central_CA,None,All,65.82914885
Southern_CA,Partial,High,3.828721742
Southern_CA,Partial,Mid,3.459561576
Southern_CA,Partial,Low,3.561907517
Southern_CA,Partial,All,3.513110296
Southern_CA,Full,High,11.13725845
Southern_CA,Full,Mid,8.206203687
Southern_CA,Full,Low,7.491658105
Southern_CA,Full,All,8.442279604
Southern_CA,None,High,85.03401981
Southern_CA,None,Mid,88.33423474
Southern_CA,None,Low,88.94643438
Southern_CA,None,All,88.0446101
Northern_BA,Partial,High,0.002430798
Northern_BA,Partial,Mid,0.049884249
Northern_BA,Partial,Low,0.062187431
Northern_BA,Partial,All,0.046425852
Northern_BA,Full,High,0.968267818
Northern_BA,Full,Mid,1.560297013
Northern_BA,Full,Low,0.740857201
Northern_BA,Full,All,1.175573406
Northern_BA,None,High,99.03173219
Northern_BA,None,Mid,98.43970299
Northern_BA,None,Low,99.2591428
Northern_BA,None,All,98.82442659
Central_BA,Partial,High,0
Central_BA,Partial,Mid,0
Central_BA,Partial,Low,0
Central_BA,Partial,All,0
Central_BA,Full,High,0.569800351
Central_BA,Full,Mid,0.694446703
Central_BA,Full,Low,0.860200961
Central_BA,Full,All,0.683012751
Central_BA,None,High,99.59625592
Central_BA,None,Mid,99.3055533
Central_BA,None,Low,99.13979904
Central_BA,None,All,99.31698725
All,Full,High,11.69845139
All,Full,Mid,6.994153825
All,Full,Low,5.583214744
All,Full,All,7.761230311
All,Partial,High,5.761480485
All,Partial,Mid,3.514114213
All,Partial,Low,2.937939928
All,Partial,All,3.909827742
All,None,High,82.54006813
All,None,Mid,89.49173196
All,None,Low,91.47884533
All,None,All,88.32894195
